
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: ريتويت,Query-Hashtags,Time= 325.0 ms,Time (sec): 0.325 sec, Number of hashtags= 1
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: ريتويت,Query-ActivePeople,Time= 0.0 ms,Time (sec): 0.0 sec, Number of ActivePeople= 6
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: ريتويت,Query-popularPeople,Time= 1.0 ms,Time (sec): 0.001 sec, Number of popularPeople= 6
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: ريتويت,Query-topkInt,Time= 0.0 " ms,Time (sec): "+((endTime - startTime)/1000)+" sec, Number of topkInt= 9
-,-,-,-,-,-,-,-,-
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: hello,Query-Tweets,Time (milSec)= 2332.0 ms,Time (sec): 2.332 sec, Number of tweets= 0
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: hello,Query-Hashtags,Time= 331.0 ms,Time (sec): 0.331 sec, Number of hashtags= 0
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: hello,Query-ActivePeople,Time= 0.0 ms,Time (sec): 0.0 sec, Number of ActivePeople= 0
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: hello,Query-popularPeople,Time= 0.0 ms,Time (sec): 0.0 sec, Number of popularPeople= 0
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: hello,Query-topkInt,Time= 0.0 " ms,Time (sec): "+((endTime - startTime)/1000)+" sec, Number of topkInt= 0
-,-,-,-,-,-,-,-,-
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: whatever,Query-Tweets,Time (milSec)= 2363.0 ms,Time (sec): 2.363 sec, Number of tweets= 0
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: whatever,Query-Hashtags,Time= 318.0 ms,Time (sec): 0.318 sec, Number of hashtags= 0
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: whatever,Query-ActivePeople,Time= 0.0 ms,Time (sec): 0.0 sec, Number of ActivePeople= 0
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: whatever,Query-popularPeople,Time= 0.0 ms,Time (sec): 0.0 sec, Number of popularPeople= 0
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: whatever,Query-topkInt,Time= 0.0 " ms,Time (sec): "+((endTime - startTime)/1000)+" sec, Number of topkInt= 0
-,-,-,-,-,-,-,-,-
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: gistic,Query-Tweets,Time (milSec)= 2363.0 ms,Time (sec): 2.363 sec, Number of tweets= 0
MBR: (39.28109369970704-21.29251491967773) - (39.76037226416017-21.496105312744135),StartDate: 2014-05-01,EndDate: 2014-05-07,topK: 5000,Keyword: gistic,Query-Hashtags,Time= 397.0 ms,Time (sec): 0.397 sec, Number of hashtags= 0
